ID,BookName,Publisher,Author,Price
532,Simülasyon,Kavim Yayıncılık,Pervin Dalgıç,"31,50"
533,Bilimkurgu ve Bilimdışı Kurmaca,Yort Kitap,Quentin Meillassoux,"29,75"
534,Star Wars Battlefront 1 - Alacakaranlık Bölüğü,Dex Yayınevi,Alexander Freed,"29,90"
535,Star Wars Battlefront 2 - Cehennem Mangası,Dex Yayınevi,Christie Golden,"26,00"
536,Kara Panter Kimdir? - Black Panther,İthaki Yayınları,Jesse J. Holland,"19,50"
537,Androidler Elektrikli Koyun Düşler Mi?,Alfa Yayınları,Philip K. Dick,"74,75"
538,Somnium ya da Ay Astronomisi,Kırmızı Kedi Yayınevi,Johannes Kepler,"21,00"
539,Doctor Who : Siluet,İthaki Yayınları,Justin Richards,"32,50"
540,Sprawl Üçlemesi 3 Kitap,Altıkırkbeş Yayınları,William Gibson,"98,00"
541,Radyo Tiyatrosu - Otostopçunun Galaksi Rehberi,Alfa Yayınları,Douglas Adams,"78,00"
542,Zaman Makinesi,Perseus,H. G. Wells,"2,78"
543,Başka Dünyalarda Canlı Mahlukat Var Mıdır?,Kara Karga Yayınları,Osman Nuri Eralp,"9,75"
544,Yaşlı Adamın Savaşı,İthaki Yayınları,John Scalzi,"48,75"
545,Cadılar Okulu 6 - Konuşan Hayvanlar,Teen Yayıncılık,Jill Murphy,"12,50"
546,Cadılar Okulu 7 - Dilek Yıldızı,Teen Yayıncılık,Jill Murphy,"12,50"
547,Cadılar Okulu 5 - Kurtarma Operasyonu,Teen Yayıncılık,Jill Murphy,"12,50"
548,Ejderhanı Nasıl Eğitirsin 1,Epsilon Yayınevi,Cressida Cowell,"38,03"
549,Bts,Martı Yayınları,Katy Sprinkel,"13,75"
550,Gözlerin Ardındaki Sanal Bedenler,Cağaloğlu Yayınevi,Dilay Nisa Vural,"14,00"
551,Kül,Novella Dinamik,Shani Petroff,"17,50"
552,Edebiyatın İzinde - Fantastik ve Bilimkurgu,Bağlam Yayınları,Kolektif,"88,00"
553,Uzaktan Kumandalı Kız,İthaki Yayınları,James Tiptree Jr.,"22,10"
554,Elektrikız,Mavi Kirpi Yayınları,Jo Cotterill,"23,50"
555,Hekimin Filozof Hali,İthaki Yayınları,M. Bilgin Saydam,"27,95"
556,Göktürkler,Baygenç Yayıncılık,Salih Eren Çetin,"19,50"
557,Lat,Kara Karga Yayınları,H. Demir,"7,22"
558,Evrenin Türküsü,Sarmal Yayınevi,G. Altov,"3,45"
559,Donmuş - Soğuk Uyanış Serisi 1. Kitap,Martı Yayınları,Robin Wasserman,"24,50"
560,Babam Sağ Olsun - Frankenstein 200 Yaşında,Doğan Kitap,Özgür Çiçek,"15,75"
561,Sonsuz Gemi,Yapı Kredi Yayınları,Francesca Haig,"29,90"
562,Schrödinger'in Kedisi : Rüya,Everest Yayınları,Alev Alatlı,"10,84"
563,Yenilmez,İthaki Yayınları,Stanislaw Lem,"31,20"
564,Sonsuz Işığım,GO! Kitap,Amie Kaufman,"22,50"
565,Ay Zalim Bir Sevgilidir,İthaki Yayınları,Robert A. Heinlein,"65,00"
566,Kızıl Kraliçe Serisi,Pegasus Yayınları,Victoria Aveyard,"270,00"
567,Kurma Kız,Aylak Kitap,Paolo Bacigalupi,"44,25"
568,2312,İthaki Yayınları,Kim Stanley Robinson,"37,70"
569,2001: Bir Uzay Destanı,İthaki Yayınları,Arthur C. Clarke,"24,70"
570,Güneşin Altın Elmaları,İthaki Yayınları,Ray Bradbury,"24,05"
571,Sonsuz Gençlik Tröstü,Cinius Yayınları,Bülent Özden,"12,73"
572,The Book Of Madness,Çitlembik Yayınevi,Levent Şenyürek,"8,15"
573,Başlayanlar,Dex Yayınevi,Lissa Price,"12,64"
574,Çıldırtan Kitap,Çitlembik Yayınevi,Levent Şenyürek,"7,04"
575,Yollar Nereye Düşer,Bilgi Yayınevi,Nurcihan Doğuç,"6,95"
576,Hamlin Çocukları Uzay Yolu Yeni Kuşak,Art Basın Yayın Hizmetleri,Carmen Carter,"14,00"
577,Bilim Kurgu Star Trek - Uzay Yolu 4 Kitap Takım,Art Basın Yayın Hizmetleri,David Gerrold,"44,80"
578,Zaman Makineleri,Arkadaş Yayınları,Paul J. Nahin,"15,28"
579,Zamanda Kıvrılma,Arkadaş Yayınları,Madeleine Lengle,"5,63"
580,Hayalet Gemi Uzay Yolu Yeni Kuşak,Art Basın Yayın Hizmetleri,Diane Carey,"14,00"
581,Farpoint’te Karşılaşma Uzay Yolu Yeni Kuşak,Art Basın Yayın Hizmetleri,David Gerrold,"14,00"
582,Tanrı Beyni,Alfa Yayınları,Lionel Tiger,"18,20"
583,İsa’nın El Yazmaları,E Yayınları,Isaac Gilad,"12,75"
584,Gelecekbilim Kongresi,Cem Yayınevi,Stanislaw Lem,"9,10"
585,Sonlayanlar,Dex Yayınevi,Lissa Price,"12,04"
586,Cestus Hilesi - Star Wars Klon Savaşları Serisi,Arka Bahçe Yayıncılık,Steven Barnes,"20,50"
587,Dune’un Çocukları,Sarmal Yayınevi,Frank Herbert,"16,12"
588,Sessiz Gezegenin Dışında 1. Kitap,Kabalcı Yayınevi,Clive Staples Lewis,"24,50"
589,Ruhun Uzun Karanlık Çay Saati,Kabalcı Yayınevi,Douglas Adams,"24,50"
590,Cebirci,İthaki Yayınları,Iain Banks,"39,65"
591,Sudan Gelen,İthaki Yayınları,Emrah Güler,"18,20"
592,Kırmızı Üniformalılar,İthaki Yayınları,John Scalzi,"31,20"
593,ÖLÜM OYUNU,Pegasus Yayınları,Koushun Takami,"99,00"
594,Sarsıntı,Tiydem Yayıncılık,A. Şerbakov,"20,00"
595,Zenar’ın Geleceği,P Kitap Yayıncılık,Murat Yılmaz,"5,56"
596,Ongay,Elips Kitap,Zübeyir Tokgöz,"4,21"
597,Yokistan Tasarısı,Pan Yayıncılık,İlhan Mimaroğlu,"3,24"
598,Kutsal Dedektiflik Bürosu,Kabalcı Yayınevi,Douglas Adams,"24,50"
599,Artemis Fowl Sonsuzluk Şifresi,Artemis Yayınları,Eoin Colfer,"7,22"
600,Wool 1 - Silo,MonoKL,Hugh Howey,"75,00"
601,Uzayda Piknik,Nirengikitap,Arkadi Ştrugatski,"14,25"
602,Caliban’ın Savaşı,İthaki Yayınları,James S. A. Corey,"41,60"
603,Otostopçu 4. Kitap: Elveda ve Bütün O Balıklar İçin Teşekkürler,Kabalcı Yayınevi,Douglas Adams,"24,50"
604,Dune,Kabalcı Yayınevi,Frank Herbert,"35,00"
605,Maymun ve Öz,İthaki Yayınları,Aldous Huxley,"11,05"
606,Yarın Dündür,İletişim Yayınevi,Jean-Marie Laclavetine,"10,55"
607,Gelecekbilim Kongresi,İletişim Yayınevi,Stanislaw Lem,"6,67"
608,Yıldızlardan Dönüş,İletişim Yayınevi,Stanislaw Lem,"8,89"
609,Başlama Yeri,İletişim Yayınevi,Ursula K. Le Guin,"7,78"
610,Sınırsız Rüyalar Diyarı,Ayrıntı Yayınları,J. G. Ballard,"7,13"
611,Siyah Adam,Artemis Yayınları,Richard K. Morgan,"16,85"
612,Neuromancer,Altıkırkbeş Yayınları,William Gibson,"64,80"
613,Mars Torunları,Tiydem Yayıncılık,A. Kazantsev,"20,00"
614,İlginç Dünya,Tiydem Yayıncılık,V. Şitnik,"18,75"
615,Dune Mesihi,Kabalcı Yayınevi,Frank Herbert,"28,00"
616,Dune Atreides Hanedanı,Kabalcı Yayınevi,Kevin J. Anderson,"35,00"
617,Çoğunlukla Zararsız,Kabalcı Yayınevi,Douglas Adams,"24,50"
618,Dune: Makinelerin Seferi,Kabalcı Yayınevi - Özel Ürünler,Kevin J. Anderson,"39,00"
619,Dune Çocukları,Kabalcı Yayınevi,Frank Herbert,"28,00"
620,Sessizlik Kuleleri -2084-,İthaki Yayınları,Kaan Arslanoğlu,"9,10"
621,On Beş Yaşında Bir Kaptan - 2. Cilt,İthaki Yayınları,Jules Verne,"11,70"
622,İki Yıl Okul Tatili,İthaki Yayınları,Jules Verne,"11,70"
623,Eve Dönüş,İthaki Yayınları,Ray Bradbury,"20,15"
624,Ara Dünya,İthaki Yayınları,Neil Gaiman,"11,70"
625,Dune - Butleryan Cihadı,Kabalcı Yayınevi - Özel Ürünler,Kevin J. Anderson,"39,00"
626,Zoe’nin Öyküsü,İthaki Yayınları,John Scalzi,"27,95"
627,Dünyaların Savaşı,İthaki Yayınları,H. G. Wells,"15,60"
628,Otomatik Alice,Postiga Yayınları,Jeff Noon,"45,50"
629,Ekotopya William Weston’ın Defterleri ve Haberleri,Ayrıntı Yayınları,Ernest Callenbach,"9,98"
630,Zaman Haritası,Koridor Yayıncılık,Felix J. Palma,"12,96"
631,İlk Saldırı,Martı Yayınları,Peter David,"10,19"
632,Perelandra Venüs’e Yolculuk,Kabalcı Yayınevi,C. S. Lewis,"24,50"
633,Otostopçunun Galaksi Rehberi - Beşibiryerde,Kabalcı Yayınevi,Douglas Adams,"52,50"
634,Dune Tanrı İmparatoru,Kabalcı Yayınevi,Frank Herbert,"28,00"
635,Uzay Tazısı’nın Yolculuğu,İthaki Yayınları,A. E. van Vogt,"14,30"
636,Leviathan Uyanıyor -,İthaki Yayınları,James S. A. Corey,"37,70"
637,Erewhon,Kyrhos Yayınları,Samuel Butler,"58,80"
638,Bilim Kurgu Öyküleri,Kyrhos Yayınları,Edgar Allan Poe,"11,02"
639,Yok Eden Ateş / Bağlılık 2. Kitap,İthaki Yayınları,John Scalzi,"123,50"
640,Alevler,Dedalus Kitap - Özel Ürün,Olaf Stapledon,"56,00"
641,John Carter 9: Mars'ın Yapay Adamları,Fihrist Kitap,Edgar Rice Burroughs,"69,65"
642,Haldun,İthaki Yayınları,Alper Kaan Bilir,"58,50"
643,Nehrin Dönemeci,Alfa Yayınları,V. S. Naipaul,"128,00"
644,Dr. Gelecek,Alfa Yayınları,Philip K. Dick,"96,00"
645,Mümkünatı Yok,İthaki Yayınları,Sinclair Lewis,"78,00"
646,Ludus,Epsilon Yayınları,Birsen Ekim Özen,"96,38"
647,Wool Serisi 3 Kitap Takım,İthaki Yayınları,Hugh Howey,"429,50"
648,Hawking’in Koridoru,Martı Yayınları,Neal Shusterman,"84,00"
649,Ölü Dağcı Oteli,İthaki Yayınları,Boris Strugatski,"65,00"
650,Tohumdan Hasada,İthaki Yayınları,Octavia E. Butler,"234,00"
651,İsyan (Karton Kapak),Yabancı Yayınları,Cindy Pon,"78,00"
652,Venüs Korsanları,Fihrist Kitap,Edgar Rice Burroughs,"59,15"
653,Anasuni Uzay Gemisi,Eksik Parça Yayınları,Ozan Ertürk,"76,00"
654,Gölgemiz Düşer,İthaki Yayınları,Maurice Carlos Ruffin,"91,00"
655,Ariadne,Epsilon Yayınları,Jennifer Saint,"118,88"
656,John Carter VII: Mars Askeri,Fihrist Kitap,Edgar Rice Burroughs,"69,65"
657,Irina'ya Göre Şeffaflık,İş Bankası Kültür Yayınları,Benjamin Fogel,"90,00"
658,Kader Adası,Flu Kitap,Max Adeler,"54,40"
659,Ay’daki İlk İnsanlar,Ren Kitap,H.G. Wells,"42,00"
660,Güneşin Altın Elmaları,İthaki Yayınları,Ray Bradbury,"104,00"
661,Yıllarca Uyuyan Adam,Dorlion Yayınevi,Henri Bernay,"66,60"
662,Megaverse,Eksik Parça Yayınları,Uzay Görmüş,"128,00"
663,Göklerdeki Yazgı,Eksik Parça Yayınları,Marie Robinette Kowal,"100,00"
664,Paradoks Üçlemesi,Laputa Kitap,Charles Cloukey,"67,50"
665,Shuri: Bir Black Panther Romanı,İthaki Yayınları,Nic Stone,"66,95"
666,Dinozorlarla Karıncaların Öyküsü,İthaki Yayınları,Cixin Liu,"61,10"
667,İleri Sar: Gelecekten Öyküler,Dex Yayınevi,Veronica Roth,"95,20"
668,Callahan Günlükleri,İthaki Yayınları,Spider Robinson,"139,75"
669,Turnanın Soyu,İthaki Yayınları,Joan He,"100,10"
670,Güneşin Çekirdeği,İthaki Yayınları,Johanna Sinisalo,"78,00"
671,Kaçak Telemetri,İthaki Yayınları,Martha Wells,"61,10"
672,Yukarı Kale (SL11),Alfa Yayınları,Stanislaw Lem,"60,00"
673,Sahibinin Sesi,Alfa Yayınları,Stanislaw Lem,"88,00"
674,Solaris (SL10),Alfa Yayınları,Stanislaw Lem,"88,00"
675,Solaris - SL10 (Ciltli),Alfa Yayınları,Stanislaw Lem,"120,00"
676,Omega Vatan,Altıkırkbeş Yayınları,Can Evrenol,"67,20"
677,Gece Nöbeti,The Kitap,K. Eason,"135,20"
678,Marie Lu 2 Kitap Takım ( Karton K.),Yabancı Yayınları,Marie Lu,"146,25"
679,Wildcard: Joker Oyuncunun Hikâyesi (Karton K.),Yabancı Yayınları,Marie Lu,"87,75"
680,Warcross: Bir Sanal Gerçeklik Oyunu (Karton K.),Yabancı Yayınları,Marie Lu,"87,75"
681,Tuhaf Bir Tehlike,Epsilon Yayınları,Jeff Vandermeer,"176,25"
682,Doktor Ox’un Deneyi,İthaki Yayınları,Jules Verne,"15,60"
683,Pruva Neta,Eksik Parça Yayınları,Özgen Biçgin,"96,00"
684,Ada (Karton Kapak),Yabancı Yayınları,Lynne Matson,"91,00"
685,Genç Kan,Theseus Yayınevi,Andrew Barrer,"103,20"
686,Zaman Polisi II,Theseus Yayınevi,Jodi Taylor,"143,20"
687,Düşyılanı,İthaki Yayınları,Vonda N. McIntyre,"74,75"
688,Arthur C. Clarke 2 Kitap Takım,İthaki Yayınları,Arthur C. Clarke,"123,50"
689,M.A.N.C. Evreni,Ephesus Yayınları,Musa Akkaya,"132,00"
690,Başlat : Ready Player Two,Dex Yayınevi,Ernest Cline,"103,20"
691,Gece Postasıyla,Fihrist Kitap,Joseph Rudyard Kipling,"37,80"
692,Otonom,Epsilon Yayınları,Annalee Newitz,"118,88"
693,Hayalet Nota,İthaki Yayınları,Eda Şahin,"57,20"
694,Cennetin Çeşmeleri,İthaki Yayınları,Arthur C. Clarke,"89,70"
695,Umarım Mesajımı Alırsın,Epsilon Yayınları,Farah Naz Rishi,"103,88"
696,Armageddon M.S. 2419,Fihrist Kitap,Philip Francis Novlan,"59,15"
697,Dışarıdan Gelen Şey,Laputa Kitap,Kolektif,"56,25"
698,Bir Kadın Astronotun Anıları,İthaki Yayınları,Naomi Mitchison,"59,80"
699,Neptün Müzakereleri,İthaki Yayınları,Murat Boyner,"50,05"
700,Makine Öğrenmesi,İthaki Yayınları,Hugh Howey,"111,80"
701,Sinemada Bilimkurgu ve Kıyamet,Fihrist Kitap,Mikail Boz,"69,65"
702,Ötekinin Keşfi,Fihrist Kitap,Alice Ilgenfritz,"38,15"
703,Koyunlar Yukarı Bakar,İthaki Yayınları,John Brunner,"136,50"
704,Steampunk,Ayrıntı Yayınları,Gizem Cengiz,"60,00"
705,Sağ Kalan,Fihrist Kitap,Julie Guinand,"34,65"
706,Ay Metali,Laputa Kitap,Garrett P. Serviss,"45,00"
707,Octavia E. Butler 2 Kitap Takım,İthaki Yayınları,Octavia E. Butler,"211,90"
708,John Carter III: Mars Komutanı,Fihrist Kitap,Edgar Rice Burroughs,"55,65"
709,Isaac Asimov 14 Kitap Takım,İthaki Yayınları,Isaac Asimov,"1.326,05"
710,Robot Serisi 4 Kitap Takım,İthaki Yayınları,Isaac Asimov,"372,90"
711,Krizalitler,DeliDolu,John Wyndham,"66,75"
712,Bilimkurgu Okuryazarlığı,Destek Yayınları,Zümrüt Bıyıklıoğlu,"46,40"
713,Kıyamet Polisi Serisi 3 Kitap Takım,İthaki Yayınları,Ben H. Winters,"211,20"
714,Uzay Gezgini Tuf,Dex Yayınevi,George R. R. Martin,"119,25"
715,Dune Çocukları,Kabalcı Kelepir,Frank Herbert,"20,00"
716,Dune -Corrino Hanedanı,Kabalcı Kelepir,Kevin J. Anderson,"25,00"
717,Dune: Harkonen Hanedanı,Kabalcı Kelepir,Kevin J. Anderson,"30,00"
718,Karel Çapek 2 Kitap Takım,İthaki Yayınları,Karel Çapek,"76,45"
719,Dune Serisi (9 Kitap Takım),İthaki Yayınları,Frank Herbert,"1.232,55"
720,Bilimkurgu Manifestosu,Fihrist Kitap,Maurice Renard,"27,65"
721,Jules Verne 13 Kitap Takım,İthaki Yayınları,Jules Verne,"128,70"
722,Silsile: Bilimkurgu Öyküleri,İthaki Yayınları,Kolektif,"61,10"
723,Wormwood Üçlemesi,Eksik Parça Yayınları,Tade Thompson,"154,05"
724,İthaki Bilimkurgu Klasikleri 70 Kitap Takım,İthaki Yayınları,Kolektif,"1.768,80"
725,Andy Weir 3 Kitap Takım,İthaki Yayınları,Andy Weir,"277,20"
726,İthaki Yayınları Kadın Bilimkurgu Yazarları,İthaki Yayınları,Kolektif,"128,15"
727,İthaki Yayınları Rus Bilimkurgu Yazarları,İthaki Yayınları,Kolektif,"200,20"
728,Jules Verne 10 Kitap Takım,İthaki Yayınları,Jules Verne,"99,00"
729,Vakıf Serisi 7 Kitap Takım,İthaki Yayınları,Isaac Asimov,"730,40"
730,Ayrıntı Yayınları Bilim Kurgu Dizisi,Ayrıntı Yayınları,Kolektif,"258,00"
731,Bilimkurgunun Altın Çağı Serisi 4 Kitap,Altıkırkbeş Yayınları,Kolektif,"102,40"
732,Isaac Asimov 2 Kitap Takım,İthaki Yayınları,Isaac Asimov,"153,45"
733,Maymun ve Öz,İthaki Yayınları,Aldous Huxley,"63,05"
734,Kıyamet Sonrası Edebiyat Seçkisi,İthaki Yayınları,Ling Ma,"48,40"
735,H. G. Wells 4 Kitap Takım,İthaki Yayınları,H. G. Wells,"62,15"
736,James Tiptree Jr. 2 Kitap Takım,İthaki Yayınları,James Tiptree Jr.,"31,35"
737,Aleksandr Belyaev 2 Kitap Takım,İthaki Yayınları,Aleksandr Belyaev,"82,50"
738,Ara Dünya 3 Kitap Takım,İthaki Yayınları,Neil Gaiman,"282,15"
739,Charlotte Perkins Gilman 2 Kitap Takım,İthaki Yayınları,Charlotte Perkins Gilman,"52,25"
740,Arkadi Strugatski 5 Kitap Takım,İthaki Yayınları,Arkadi Strugatski,"325,05"
741,Jack London 6 Kitap Takım,İthaki Yayınları,No author found,"68,20"
742,Dune Hanedanlık Üçlemesi (3 Kitap Takım),İthaki Yayınları,Brian Herbert,"543,40"
743,Dune Seti (6 Kitap Takım),İthaki Yayınları,Frank Herbert,"689,15"
744,İthaki 2021 Bilimkurgu Ajandası (5'li Set),İthaki Yayınları,No author found,"63,25"
745,İthaki Bilimkurgu Ajandası 2021 (Ciltli),İthaki Yayınları,Alican Saygı Ortanca,"11,50"
746,Filme Uyarlanmış Bilim Kurgu Seçkisi,İthaki Yayınları,Kolektif,"210,65"
747,Ütopya Seçkisi,İthaki Yayınları,Kolektif,"53,35"
748,Bilimkurgu Seçkisi,Yabancı Yayınları,Kolektif,"298,65"
749,Jules Verne 11 Kitap Takım,İthaki Yayınları,Jules Verne,"105,49"
750,Kıyamet Sonrası Kitapları,İthaki Yayınları,Kolektif,"288,75"
751,Üç Cisim Problemi (3 Kitap Takım),İthaki Yayınları,Cixin Liu,"380,50"
752,Kızıl Veba,İthaki Yayınları,Jack London,"27,95"
753,Patrick Ness 2 Kitap Takım,Yabancı Yayınları,Patrick Ness,"275,00"
754,Ottomania,İthaki Yayınları,Erim Şişman,"66,95"
755,Tanrı’nın Gözündeki Zerre,İthaki Yayınları,Larry Niven,"168,35"
756,Bilimkurgu Klasikleri 18 Kitap Takım,İthaki Yayınları,No author found,"394,35"
757,Karin Tidbeck 2 Kitap Takım,İthaki Yayınları,Karin Tidbeck,"124,85"
758,Stanislaw Lem 4 Kitap Takım,Alfa Yayınları,Stanislaw Lem,"93,60"
759,Bilimkurgu Seti (3 Kitap Takım),Laputa Kitap,Kurd Lasswitz,"34,50"
760,Dönüş Üçlemesi 3 Kitap Takım,İthaki Yayınları,Robert Charles Wilson,"282,15"
761,Ray Bradbury ( 3 Kitap Takım ),İthaki Yayınları,Ray Bradbury,"238,70"
762,Robert A. Heinlein ( 3 Kitap Takım ),İthaki Yayınları,Robert A. Heinlein,"133,10"
763,Galaktik İmparatorluk Serisi ( 3 Kitap Takım ),İthaki Yayınları,Isaac Asimov,"222,75"
764,Alfred Bester 2 Kitap Takım,İthaki Yayınları,Alfred Bester,"145,20"
765,İsyan 2 Kitap Takım,Yabancı Yayınları,Cindy Pon,"213,40"
766,John Scalzi 6 Kitap Takım,İthaki Yayınları,John Scalzi,"146,30"
767,Sonsuzluğun Sınırında 2 Kitap Takım,Yabancı Yayınları,Melissa E. Hurst,"264,00"
768,Leibowitz İçin Bir İlahi,İthaki Yayınları,"Walter M. Miller, JR.","110,50"
769,Klasik Bilimkurgu Öyküleri,Çınar Yayınları,H. G. Wells,"37,50"
770,Değiştirilmiş Karbon Serisi (3 Kitap Takım),İthaki Yayınları,Richard K. Morgan,"342,10"
771,Mars Yıllıkları,İthaki Yayınları,Ray Bradbury,"94,25"
772,Yaşlı Adamın Savaşı,İthaki Yayınları,John Scalzi,"48,75"
773,Yakma Zevki,İthaki Yayınları,Ray Bradbury,"156,00"
774,Bilimkurgu Seti (3 Kitap Takım),Kolektif,Douglas Adams,"150,00"
775,Yüzyılın En iyi Bilimkurgu Öyküleri,İthaki Yayınları,Kolektif,"38,35"
776,Yeryüzü Müzesi,İthaki Yayınları,Bilimkurgu Kulübü,"89,70"
777,Resimli Adam,İthaki Yayınları,Ray Bradbury,"89,70"
778,Yüksek Doz Gelecek,Altın Kitaplar,Umut Altın,"38,40"
779,Dünyalılar: Bilimkurgu Öyküleri,İletişim Yayınevi,Kolektif,"79,00"
780,Sinemaya Giriş Seti,Kolektif Kitap,Sarah Casiy Benyahia,"210,00"
781,Sinemaya Giriş : Bilimkurgu,Kolektif Kitap,Mark Bould,"95,00"
782,Başka Dünyalar,Kolektif Kitap,Margaret Atwood,"75,00"
783,Bilimkurgu Sinemasında Cyberpunk,Altıkırkbeş Yayınları,Oğuzhan Ersümer,"104,00"
784,15 Oyunda Devrialem,Büyülü Fener Yayınları,Ali Yalman,"15,40"
785,Hayalgücünün Merkezine Seyahat,İthaki Yayınları,Kolektif,"12,00"
786,Bilimkurgu Öyküleri,Remzi Kitabevi,Kolektif,"11,11"
787,Türklüğü Ölçmek,Metis Yayınları,Nazan Maksudyan,"83,20"
788,Asker Kaçağı,Metis Yayınları,Bülent Somay,"72,00"
